current_soc,target_soc,battery_temp,charger_power_kw,battery_capacity_kwh,charging_time_minutes
33.090508913552185,96.9487477919953,36.95981825434215,60.0,75.0,83.30972974248294
9.35627091261496,88.53882608331884,33.03345035229626,30.0,75.0,177.19384411763625
20.92543330087071,39.39403896182008,20.502135295603015,50.0,40.5,9.795183983793473
26.842185514853142,73.54474160554118,19.184815819561255,50.0,60.0,49.359749330493614
63.88819710447602,75.1004084583907,30.42703315240835,7.2,50.0,58.8012801008266
38.787443897715725,44.533101271109345,43.266052670545584,120.0,40.5,5.0
22.317036921661174,44.83548196976919,35.49790556476375,50.0,75.0,20.82069471376443
34.32954556799306,50.38589182800591,37.66084230952957,120.0,40.5,5.0
68.17135809462489,85.23765068426465,26.854507080054432,50.0,60.0,18.62862114751357
34.15079672671115,55.66216911913106,39.86212527455788,22.0,30.0,19.902946417749796
15.569316873107198,84.28837105673145,17.236519310393124,7.2,30.0,283.0363694091698
66.15960713411256,91.54565063081552,36.87021504122962,7.2,50.0,190.38320063199458
13.690179464384729,88.86896412600396,33.69894380482674,22.0,30.0,92.92163751948301
29.388749152006028,82.25912313919098,34.12672414065639,30.0,50.0,75.09005483416318
58.493359041724624,91.26706565800578,31.83831592708489,120.0,50.0,14.300685124237527
6.906434505807139,21.410974995903732,15.942875570602027,7.2,60.0,93.8012086862338
15.449859080440676,68.53134677622177,31.195232739050194,60.0,60.0,34.26313071314752
57.10886997797784,95.47079134631385,33.7306214440138,120.0,30.0,10.459845826483912
21.38303279126252,57.04523196574822,41.49840776756605,22.0,60.0,82.31292020435566
25.409918703847648,75.48272684703576,15.015611309859475,60.0,30.0,21.338661987031077
45.05670645315815,74.27071203304678,35.77308098670811,22.0,60.0,59.39703603130735
21.40731646798027,67.47954048102909,27.115085131741225,120.0,30.0,7.53858456479039
57.222820462984124,89.13039441749598,19.442607898601995,7.2,50.0,225.64373333050912
8.860906343749201,37.863260223609814,42.24797657899961,30.0,40.5,30.810361785766823
46.4669816803496,80.23234263838498,17.425599789981458,30.0,30.0,33.44883059389029
52.42293729451846,84.39677151537066,31.073240522242756,7.2,30.0,116.08374597068949
8.058135616607293,64.4314697483832,35.32693085526847,30.0,40.5,48.56174361175789
53.38795928070874,65.64370222454185,35.72813214307398,22.0,30.0,11.224665225101663
20.680371555328527,65.92058379231342,35.87353198035247,50.0,40.5,23.330600138960403
24.562188112280676,99.73611880827376,43.96258053866381,60.0,75.0,110.97445699030786
25.91535144441364,79.29932599123565,40.399834267149174,50.0,30.0,27.363344965817323
17.122153557096034,92.0996186718361,33.192871789787695,30.0,30.0,73.33433360008868
17.060603856312397,64.82858404318158,35.756855930780794,60.0,30.0,15.264449660241185
